fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120116,143,4,3,1,3476,1
20120125,143,4,3,1,3476,1
20120215,143,4,3,3,3725,1
20120301,143,4,3,3,5320,1
20120303,143,4,3,1,5327,2
20120315,143,4,3,1,5327,1
20120323,143,4,3,1,5327,1
20120319,143,4,3,2,5329,2
20120322,143,4,3,2,5333,2
20120323,143,4,3,1,5310,2
20120410,143,4,3,1,3725,1
20120529,143,4,3,1,3476,1
20120620,143,4,3,2,3476,3
20120620,143,4,3,1,3476,3
20120621,143,4,3,1,5358,1
20120202,144,4,3,2,3725,1
20120321,144,4,3,1,5327,1
20120320,144,4,3,2,5333,1
20120417,144,4,3,2,3725,1
20120503,144,4,1,74,3725,1
20120509,144,4,1,74,5349,2
20120509,144,4,1,74,5350,1
20120601,144,4,1,80,3476,6
20120607,144,4,1,80,3725,2
20120606,144,4,1,74,3476,1
20120606,144,4,1,74,3725,1
20120111,321,4,3,2,4573,1
20120121,321,4,3,2,4583,1
20120116,321,4,3,1,3346,1
20120123,321,4,3,2,4596,1
20120123,321,4,3,2,4589,1
20120125,321,4,3,2,4583,1
20120219,321,4,3,2,5317,1
20120125,321,4,3,2,1371,1
20120130,321,4,3,1,4573,1
20120201,321,4,3,1,4573,1
20120211,321,4,3,1,4577,1
20120208,321,4,3,1,3346,1
20120207,321,4,3,1,3346,1
20120207,321,4,3,1,1371,2
20120207,321,4,3,2,4596,1
20120208,321,4,3,1,4582,1
20120213,321,4,3,1,4577,1
20120218,321,4,3,1,1371,2
20120218,321,4,3,1,3346,1
20120217,321,4,3,1,3346,1
20120215,321,4,3,1,4538,1
20120220,321,4,3,4,3346,1
20120223,321,4,3,1,4577,1
20120221,321,4,3,1,4589,1
20120225,321,4,3,1,5331,1
20120226,321,4,3,1,5331,5
20120220,321,4,3,1,4573,1
20120221,321,4,3,1,4582,1
20120225,321,4,3,2,1371,1
20120301,321,4,3,1,5331,3
20120309,321,4,3,1,4577,1
20120311,321,4,3,3,1371,1
20120310,321,4,3,1,1371,2
20120307,321,4,3,2,3346,1
20120306,321,4,3,3,4328,1
20120310,321,4,3,1,4328,1
20120317,321,4,3,3,4538,1
20120317,321,4,3,1,4538,1
20120314,321,4,3,1,5331,1
20120315,321,4,3,1,5331,2
20120313,321,4,3,1,1371,1
20120314,321,4,3,1,5315,1
20120321,321,4,3,3,4589,1
20120329,321,4,3,1,5331,1
20120331,321,4,3,1,5340,1
20120327,321,4,3,1,3346,1
20120403,321,4,3,1,4583,2
20120329,321,4,3,1,5324,1
20120330,321,4,3,1,5330,1
20120327,321,4,3,1,1371,2
20120413,321,4,3,3,3346,1
20120410,321,4,1,74,5311,2
20120412,321,4,3,2,4582,1
20120411,321,4,3,3,1371,1
20120412,321,4,3,1,4583,1
20120407,321,4,3,1,1371,1
20120414,321,4,3,1,5324,1
20120419,321,4,3,1,5341,1
20120427,321,4,3,1,4328,2
20120430,321,4,3,1,4328,3
20120427,321,4,3,2,5340,1
20120430,321,4,3,1,4596,1
20120423,321,4,3,1,4582,1
20120426,321,4,3,1,1371,1
20120501,321,4,3,1,4328,2
20120502,321,4,3,1,5344,1
20120512,321,4,3,1,1371,1
20120516,321,4,3,2,4328,2
20120517,321,4,1,74,5351,1
20120521,321,4,3,1,5344,1
20120523,321,4,3,1,5347,1
20120525,321,4,1,74,5311,1
20120526,321,4,3,1,3346,1
20120524,321,4,3,1,5353,1
20120602,321,4,3,1,3346,4
20120602,321,4,3,1,1371,4
20120607,321,4,3,2,3346,2
20120607,321,4,3,1,4328,1
20120605,321,4,3,2,5343,1
20120605,321,4,3,1,5343,2
20120607,321,4,3,1,1371,1
20120614,321,4,1,74,5311,1
20120614,321,4,3,1,3346,1
20120612,321,4,1,74,5352,1
20120614,321,4,3,1,1371,1
20120621,321,4,3,1,5361,1
20120627,321,4,3,1,3346,3
20120702,321,4,3,1,1371,1
20120626,321,4,3,1,5330,1
20120628,321,4,3,1,5358,1
20120704,321,4,3,2,302,1
20120706,321,4,3,3,3476,1
20120712,321,4,3,2,3346,1
20120704,321,4,3,2,1371,1
20120713,321,4,3,1,1371,2
20120713,321,4,3,3,5363,1
20120707,321,4,3,1,5351,1
20120719,321,4,3,1,5365,2
20120719,321,4,3,2,3476,2
20120719,321,4,3,1,3476,1
20120727,321,4,3,1,5351,1
20120726,321,4,1,61,5330,1
20120802,321,4,3,1,5311,1
20120731,321,4,1,61,5380,1
20120810,321,4,3,1,5347,2
20120810,321,4,1,61,5351,1
20120808,321,4,1,61,5380,1
20120810,321,4,3,1,1371,2
20120809,321,4,3,1,3476,1
20120817,321,4,3,2,5347,1
20120817,321,4,3,1,5311,1
20120815,321,4,3,1,5386,1
20120815,321,4,3,1,5351,1
20120816,321,4,3,1,5360,1
20120816,321,4,3,1,4328,1
20120816,321,4,3,1,1371,1
20120817,321,4,3,1,1371,1
20120817,321,4,3,2,5388,1
20120816,321,4,1,74,5378,1
20120825,321,4,6,3,5361,1
20120830,321,4,3,1,302,1
20120828,321,4,3,1,3346,1
20120828,321,4,6,3,5390,1
20120830,321,4,6,3,5387,1
20120827,321,4,3,1,5347,1
20120906,321,4,3,1,3346,1
20120908,321,4,3,1,5351,1
20120908,321,4,3,13,302,1
20120906,321,4,3,1,5361,1
20120905,321,4,3,1,5396,2
20120907,321,4,3,1,5347,3
20120908,321,4,3,12,5347,1
20120912,321,4,3,1,1371,1
20120918,321,4,3,3,4328,1
20120926,321,4,3,1,3476,1
20120923,321,4,3,1,5347,1
20120928,321,4,3,1,1371,2
20120927,321,4,3,1,5361,1
20121004,321,4,3,2,5311,3
20121003,321,4,3,1,3476,2
20121001,321,4,3,2,1371,1
20121010,321,4,3,1,1371,1
20121018,321,4,3,2,4328,1
20121025,321,4,3,2,3346,1
20121027,321,4,3,3,3346,1
20121026,321,4,3,2,5351,1
20121025,321,4,3,2,4328,2
20121101,321,4,3,2,3346,1
20121102,321,4,6,3,5412,1
20121107,321,4,3,2,5351,1
20121106,321,4,3,2,5347,1
20121109,321,4,3,2,3346,2
20121115,321,4,3,1,5347,1
20121114,321,4,3,1,1371,1
20121115,321,4,3,1,3476,2
20121120,321,4,3,1,5351,1
20121119,321,4,3,2,1371,1
20121122,321,4,3,5,4328,1
20121117,321,4,3,5,5347,1
20121119,321,4,3,5,5347,2
20121127,321,4,3,1,5347,1
20120131,143,4,3,1,3725,2
20120223,143,4,3,1,3476,1
20120306,143,4,3,3,5319,1
20120309,143,4,3,1,5310,1
20120306,143,4,3,1,5310,1
20120313,143,4,3,1,5310,1
20120405,143,4,3,1,5327,1
20120518,143,4,1,74,3725,1
20120604,143,4,3,1,3476,1
20120620,143,4,1,74,3725,1
20120621,143,4,3,2,3476,1
20120113,144,4,3,1,5310,2
20120409,144,4,3,2,3725,1
20120418,144,4,3,2,3725,8
20120531,144,4,1,74,3476,1
20120601,144,4,1,80,3725,7
20120531,144,4,1,74,3725,1
20120117,321,4,3,2,302,1
20120121,321,4,3,2,4577,2
20120116,321,4,3,2,5311,2
20120117,321,4,3,2,1371,1
20120116,321,4,3,2,1371,1
20120118,321,4,3,2,3346,1
20120119,321,4,3,2,4573,1
20120127,321,4,3,1,4328,1
20120131,321,4,3,1,4577,1
20120130,321,4,3,2,4328,1
20120130,321,4,3,1,4589,1
20120131,321,4,3,2,4573,1
20120131,321,4,3,2,4583,2
20120201,321,4,3,1,4583,1
20120128,321,4,3,2,4539,1
20120131,321,4,3,1,5311,1
20120205,321,4,3,2,1371,1
20120201,321,4,3,1,1371,1
20120209,321,4,3,1,302,1
20120211,321,4,3,1,4539,1
