fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120217,143,1,2,30,5243,1
20120301,143,1,2,30,5243,4
20120220,143,1,2,30,123,1
20120302,143,1,1,50,6108,3
20120321,143,1,1,49,123,3
20120330,143,1,1,46,6257,1
20120330,143,1,2,22,5243,1
20120402,143,1,2,30,5243,4
20120402,143,1,2,30,123,2
20120424,143,1,1,50,5157,1
20120610,143,1,1,46,123,1
20120717,143,1,2,30,6108,1
20120724,143,1,2,32,5243,1
20120803,143,1,1,46,6090,1
20120808,143,1,2,65,5243,4
20120831,143,1,2,65,5243,2
20120830,143,1,2,30,7016,1
20120908,143,1,2,31,123,1
20120909,143,1,2,21,123,1
20120913,143,1,2,65,123,1
20120927,143,1,1,63,7016,1
20121104,143,1,2,30,7016,1
20121123,143,1,1,46,1131,3
20121209,143,1,2,21,5243,1
20130118,143,1,1,50,7109,1
20120127,144,1,1,40,5157,1
20120127,144,1,1,40,6108,2
20120126,144,1,1,40,5157,1
20120209,144,1,1,40,5157,1
20120301,144,1,1,52,6259,1
20120315,144,1,1,43,6108,1
20120323,144,1,1,40,6255,1
20120508,144,1,1,40,6259,1
20120509,144,1,1,53,6108,1
20120524,144,1,1,52,6108,1
20120706,144,1,1,40,6259,1
20120719,144,1,1,40,1131,1
20120824,144,1,1,60,7016,1
20120913,144,1,1,45,6108,1
20130124,144,1,1,40,6108,1
20120610,144,1,1,63,6090,1
20121101,144,1,1,53,6108,1
20130109,144,1,1,63,7109,1
20120201,145,1,1,53,6259,1
20120403,146,1,1,40,7017,1
20121101,146,1,1,40,6255,1
20120420,146,1,1,58,6259,1
20120630,146,1,1,40,6259,1
20120723,146,1,1,40,102,1
20120630,146,1,2,22,1131,1
20130131,153,1,1,40,1131,3
20130204,153,1,1,40,7109,1
20130202,153,1,1,40,7096,1
20130213,153,1,1,40,6108,1
20130220,153,1,1,40,6108,1
20130223,153,1,1,40,6108,2
20130224,153,1,1,40,7096,1
20130301,153,1,1,40,1095,1
20130304,153,1,1,40,1095,2
20130307,153,1,1,52,6090,1
20130308,153,1,1,30,123,1
20130402,153,1,1,40,1095,4
