fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120328,144,2,1,53,5773,1
20120420,144,2,1,53,5773,1
20120421,144,2,1,53,5773,1
20120310,145,2,1,53,5754,1
20120303,145,2,1,53,1876,1
20120419,145,2,1,53,5753,1
20130604,153,2,1,53,5865,4
20130605,153,2,1,53,5865,3
20130605,153,2,1,53,6621,1
20130607,153,2,1,53,5889,5
20130612,153,2,1,53,4635,1
20130614,153,2,1,53,6621,1
20130617,153,2,1,53,5817,1
20130620,153,2,1,53,5817,1
20130618,153,2,1,53,5817,1
20130619,153,2,1,53,5865,1
20130623,153,2,1,53,5773,1
20130620,153,2,1,53,5773,2
20130502,153,2,1,53,5753,1
20130508,153,2,1,53,5753,3
20130517,153,2,1,81,5753,1
20130521,153,2,1,53,600,2
20130522,153,2,1,53,5753,1
20130522,153,2,1,53,5865,3
20130523,153,2,1,53,5773,2
20130628,153,2,1,53,6621,1
20130628,153,2,2,1,5817,1
20130624,153,2,1,53,5817,2
20130626,153,2,1,53,5817,1
20130704,153,2,1,53,600,1
20130704,153,2,1,53,6621,1
20130707,153,2,1,53,5773,1
20130706,153,2,1,53,5753,1
20130712,153,2,1,50,5773,2
20130711,153,2,1,53,5817,1
20130719,153,2,1,53,6621,5
20130708,153,2,1,53,5773,1
20130725,153,2,1,53,5773,2
20130802,153,2,1,53,5753,1
20130725,153,2,1,53,5865,1
20130808,153,2,1,53,5865,2
20130808,153,2,1,50,5879,1
20130809,153,2,1,53,6656,10
20130809,153,2,1,53,6639,1
20130811,153,2,1,53,6639,2
20130806,153,2,1,53,6638,3
20130805,153,2,1,53,5773,1
20130813,153,2,1,53,6621,1
20130814,153,2,1,53,6656,4
20130816,153,2,1,53,6655,1
20130821,153,2,1,53,5817,2
20130821,153,2,1,53,5889,1
20130829,153,2,1,53,5879,3
20130828,153,2,1,53,5754,1
20130829,153,2,1,53,6639,1
20130829,153,2,1,53,6621,3
20130210,153,2,1,53,5860,3
20130213,153,2,1,53,5891,1
20130212,153,2,1,53,5858,3
20130212,153,2,1,53,5875,2
20130216,153,2,1,53,5889,1
20130221,153,2,1,53,5879,1
20130219,153,2,1,53,5817,1
20130226,153,2,1,53,5891,1
20130301,153,2,1,53,5773,1
20130306,153,2,1,53,5754,2
20130305,153,2,1,50,5858,1
20130311,153,2,1,53,5879,2
20130316,153,2,1,53,5879,3
20130322,153,2,1,53,5865,1
20130322,153,2,1,53,5889,1
20130401,153,2,1,50,600,1
20130402,153,2,1,53,5817,2
20130414,153,2,1,53,5865,1
20130413,153,2,1,53,5817,2
20130413,153,2,1,53,5773,3
20130418,153,2,1,53,1873,1
20130418,153,2,1,53,5879,2
20130417,153,2,1,53,5889,3
20130418,153,2,1,53,5754,2
20130419,153,2,1,53,5858,2
20130416,153,2,1,53,5773,2
20130423,153,2,1,53,5889,1
20130425,153,2,1,53,5889,1
20130423,153,2,1,53,5865,1
20130426,153,2,1,63,5773,2
20130904,153,2,1,53,6621,2
20130905,153,2,1,53,6655,3
20130907,153,2,1,53,5773,2
20130903,153,2,1,53,5879,3
20130905,153,2,1,53,5879,2
20130904,153,2,1,53,5889,2
20120826,143,2,1,53,1127,12
20120507,143,2,1,53,5816,1
20120119,143,2,1,53,5754,2
20120126,143,2,1,53,4635,1
20120127,143,2,1,53,5784,1
20120130,143,2,1,53,1674,1
20120201,143,2,1,53,5754,11
20120202,143,2,1,53,5753,1
20120213,143,2,1,53,1876,3
20120206,143,2,1,53,5754,1
20120209,143,2,1,53,1127,2
20120211,143,2,1,53,1873,1
20120219,143,2,1,53,1127,1
20120222,143,2,1,53,1876,1
20120302,143,2,1,50,600,1
20120227,143,2,1,53,5773,1
20120305,143,2,1,53,1876,4
20120315,143,2,1,53,5753,2
20120331,143,2,1,53,1674,1
20120328,143,2,1,53,5773,2
20120412,143,2,1,53,600,1
20120412,143,2,1,50,1873,1
20120412,143,2,1,53,1876,3
20120420,143,2,1,53,5753,3
20120426,143,2,1,50,1876,1
20120507,143,2,1,63,1876,1
20120511,143,2,1,53,1876,3
20120510,143,2,1,50,5753,3
20120514,143,2,1,53,5753,1
20120511,143,2,1,53,1873,1
20120522,143,2,1,53,1876,1
20120523,143,2,1,53,5753,1
20120525,143,2,1,53,5773,3
20120607,143,2,1,53,1674,1
20120610,143,2,1,53,5754,1
20120607,143,2,1,53,1127,1
20120605,143,2,1,53,1127,4
20120606,143,2,1,53,5773,2
20120629,143,2,1,53,5773,14
20120712,143,2,1,53,5817,3
20120712,143,2,1,53,1127,1
20120810,143,2,1,53,4635,2
20120717,143,2,1,53,5773,1
20120718,143,2,1,50,1127,1
20120727,143,2,1,53,1131,1
20120727,143,2,1,53,5773,15
20120805,143,2,1,53,1127,3
20120805,143,2,1,53,5773,12
20120728,143,2,1,53,5773,1
20120816,143,2,1,53,5773,1
