depto,ciudad,fecha,,vendedor,cantidad
1,67,20151223,6,1916,1
1,67,20160603,6,1162,1
1,67,20160331,6,1013,1
1,67,20161205,5,4051,3
1,67,20160411,6,1002,2
1,67,20160405,6,1916,1
1,67,20160707,6,4051,5
1,67,20160525,6,4270,1
1,67,20170123,6,1812,1
1,67,20160512,6,1028,1
1,67,20161228,6,1025,1
1,67,20160715,6,4051,3
1,67,20170417,6,1047,1
1,67,20171226,6,4051,5
1,67,20170825,5,1985,1
1,67,,5,4051,211
1,67,20170829,6,4051,4
1,67,20170704,6,8207,1
1,67,20161017,6,616,1
1,67,20170704,5,1022,1
1,67,20170602,5,1769,1
1,67,20170608,5,1888,1
1,67,20170919,6,1760,1
1,67,20170801,6,4069,1
1,67,20170427,6,1711,1
1,67,20171214,6,1279,2
1,67,20180131,6,1279,2
1,67,20180102,6,8213,1
1,67,20170915,6,4051,3
1,67,20180220,6,4051,5
1,67,20171129,6,1198,1
1,67,20170129,6,1279,1
1,67,20180219,6,4003,3
1,67,20180302,6,4478,1
1,67,20170330,1,1812,1
1,88,20170424,5,1880,1
1,88,20171117,6,1076,1
1,88,20170816,6,4473,1
1,67,20120716,6,1908,2
1,67,20130313,6,1023,1
1,67,20120608,5,1076,1
1,67,20121217,6,1760,1
1,67,20130614,5,1800,1
1,67,20130206,5,1722,1
1,67,20130829,5,1678,1
1,67,20130529,6,1203,1
1,67,20140514,6,1741,1
1,67,20140512,6,1924,1
1,67,20140318,6,1845,1
1,67,20140612,6,1685,1
1,67,20141119,6,1812,3
1,67,20140910,6,1963,1
1,67,20140320,6,4041,1
1,67,20140804,6,1027,1
1,67,20140407,5,1954,1
1,67,20140811,6,4043,1
1,67,20150925,6,1819,1
1,67,20151126,6,1161,1
1,67,20150513,6,1022,1
1,67,20150310,6,4051,3
1,67,20150618,6,1678,1
1,67,20151103,5,1812,2
1,67,20150316,5,1046,1
1,67,20150713,5,1772,1
1,67,20161019,6,8209,1
1,67,20160425,5,1868,1
1,67,20160526,6,1002,1
1,67,20160511,6,8209,1
1,67,20170124,6,1002,1
1,67,20170424,6,1047,1
1,67,20170222,6,4051,1
1,67,20160729,6,4294,1
1,67,20170515,6,4266,1
