depto,ciudad,fecha,demografia,vendedor,cantidad
3,1,20130813,4,1303,1
3,1,20180113,4,1303,1
3,1,20140804,4,1303,1
1,74,20120919,4,1303,1
3,3,20171207,4,1303,1
1,65,,4,1303,1
3,1,20120629,4,1303,1
3,1,20150122,4,1303,1
3,2,20171211,4,1303,1
1,74,20171201,4,1303,1
3,1,20130801,4,1303,1
3,1,20180112,4,1303,1
3,1,20180120,4,1303,1
3,1,20171129,4,1303,2
3,3,20171213,4,1303,1
3,1,20120304,4,1303,1
3,1,20121212,4,1303,1
3,1,20140722,4,1303,1
3,3,20120430,4,1303,1
3,1,20180226,4,1303,1
3,2,20140815,4,1303,1
3,2,20171213,4,1303,1
3,1,20141007,4,1303,1
1,74,20180116,4,1303,1
3,2,20141106,4,1303,1
3,1,20120426,4,1303,1
3,1,20180209,4,1303,1
3,1,20121207,5,1303,1
3,1,,5,1303,1
3,1,20171206,5,1303,1
3,1,20120514,5,1303,1
3,1,20171123,5,1303,1
3,1,20171204,5,1303,1
3,1,20120504,5,1303,1
3,1,20171127,5,1303,1
3,1,20120915,5,1303,1
3,1,20120503,6,1303,1
3,1,20120713,6,1303,1
3,1,20140123,6,1303,1
1,74,20130726,6,1303,1
3,1,20120330,6,1303,1
3,1,20131016,6,1303,1
3,1,20171211,6,1303,1
3,1,20171127,6,1303,1
3,1,20120709,6,1303,1
1,53,20140709,6,1303,1
3,13,20171214,6,1303,1
3,1,20131231,6,1303,1
3,10,20130111,6,1303,1
3,1,20130817,6,1303,1
3,1,20120522,6,1303,1
3,1,20180124,6,1303,1
1,74,20140108,6,1303,1
3,13,20171205,6,1303,1
3,1,20180219,6,1303,1
3,1,20140827,6,1303,1
3,1,20140731,6,1303,1
3,1,20180216,6,1303,1
3,1,20120704,6,1303,1
3,1,20121031,6,1303,1
3,3,20171130,8,1303,1
3,1,20171206,8,1303,1
3,1,20180115,8,1303,1
3,3,20171218,8,1303,1
1,74,20141128,8,1303,1
3,2,20120621,8,1303,1
3,3,20171116,8,1303,1
3,1,20120628,10,1303,1
1,65,20171215,1,1303,1
3,5,20141122,1,1303,1
3,5,20140307,1,1303,1
3,5,20171221,1,1303,1
1,61,20150305,1,1304,2
3,1,20170830,1,1304,1
3,10,20170216,2,1304,1
3,1,20161123,2,1304,1
3,10,20170214,2,1304,1
1,74,20180219,2,1304,2
3,1,20141120,2,1304,1
3,1,20170717,2,1304,1
3,1,20130727,2,1304,1
3,1,20160419,2,1304,1
3,1,20170228,2,1304,1
3,1,20180307,2,1304,1
1,74,20140128,2,1304,1
3,1,20170302,2,1304,1
3,2,20150930,2,1304,1
3,1,20160407,2,1304,1
3,1,20160518,2,1304,1
3,1,20160928,2,1304,1
3,1,20150303,3,1304,1
3,2,20121030,3,1304,1
3,2,20150921,3,1304,1
3,3,20160701,3,1304,1
3,2,20130806,3,1304,1
3,1,20160512,3,1304,1
3,1,20150216,3,1304,1
3,1,20170318,3,1304,1
1,80,20151103,3,1304,1
3,3,20150527,4,1304,1
3,1,20170721,4,1304,1
1,65,20170302,4,1304,1
3,2,20120131,4,1304,1
3,2,20160706,4,1304,1
3,3,20160830,4,1304,1
3,1,20150220,4,1304,1
3,2,20160511,4,1304,1
3,2,20170405,4,1304,1
3,1,20171117,4,1304,1
3,2,20170706,4,1304,1
3,1,20131023,4,1304,1
3,2,20151022,4,1304,1
3,1,20170719,4,1304,1
3,2,20150923,4,1304,1
3,2,20150914,4,1304,1
3,1,20171116,4,1304,1
3,2,20131226,4,1304,1
3,1,20160319,4,1304,1
3,1,20140710,4,1304,1
3,4,20141202,4,1304,1
1,80,20160112,4,1304,2
3,1,20130914,4,1304,1
3,1,20150527,4,1304,1
3,1,20141217,4,1304,1
3,1,20150430,4,1304,1
3,3,20170719,4,1304,1
3,1,20170531,4,1304,1
3,2,20150728,4,1304,1
3,2,20170704,4,1304,1
3,2,20170411,4,1304,1
3,1,20140816,4,1304,1
3,4,20161222,4,1304,1
3,2,20160512,4,1304,2
3,1,20140913,4,1304,1
3,2,,4,1304,1
3,1,20141220,4,1304,1
1,74,20150114,4,1304,1
3,1,20171206,4,1304,1
3,1,20160203,4,1304,1
3,1,20180226,4,1304,1
3,1,20130612,5,1304,1
3,1,20161010,5,1304,1
3,1,20150623,6,1304,1
3,1,20131230,6,1304,1
3,1,20121120,6,1304,1
3,1,20120731,6,1304,1
3,1,20121121,6,1304,1
3,1,20121207,6,1304,1
3,1,20171003,6,1304,1
3,1,20150414,6,1304,1
3,1,20170918,6,1304,1
3,1,20130131,6,1304,1
3,1,20150514,6,1304,1
3,1,20170601,6,1304,1
3,1,20170612,6,1304,1
3,1,,6,1304,2
3,1,20170327,6,1304,1
3,1,20140708,6,1304,1
3,1,20150617,6,1304,1
3,1,20170314,6,1304,1
1,74,20160315,6,1304,1
3,1,20131127,6,1304,1
3,4,20150414,6,1304,1
3,1,20160730,6,1304,1
3,1,20140816,6,1304,1
3,1,20150317,6,1304,1
1,74,20160822,6,1304,1
3,1,20150124,6,1304,1
3,1,20170204,6,1304,1
3,3,20141205,6,1304,1
1,74,20140226,6,1304,1
3,1,20170207,6,1304,1
3,1,20170722,6,1304,1
3,1,20180129,6,1304,1
