depto,ciudad,fecha,demografia,vendedor,cantidad
2,30,,2,102,3
1,42,20131003,2,102,1
1,45,20140613,2,102,1
2,30,20130830,2,102,1
2,30,20130712,2,102,1
1,56,20130910,2,102,1
1,59,20120918,2,102,1
1,41,20120416,2,102,1
1,41,20140716,2,102,1
1,41,20170131,2,102,1
1,81,20130722,2,102,1
1,81,20141020,2,102,1
1,81,20150124,2,102,1
2,65,20121031,2,102,1
2,65,20120905,2,102,1
2,65,20120510,2,102,1
2,65,20130524,2,102,2
1,32,20120413,2,102,1
1,60,,2,102,3
2,33,20130507,2,102,1
1,40,20120418,2,102,1
1,40,20130208,2,102,1
1,40,20140918,2,102,1
1,42,20130611,2,102,1
2,30,20130131,2,102,1
1,63,20120129,2,102,1
1,63,20130911,2,102,1
2,29,,2,102,11
2,29,20140624,2,102,1
2,33,20120327,2,102,2
2,11,20120719,2,102,2
2,29,20120628,2,102,1
2,28,20120808,2,102,1
2,28,20130429,2,102,1
2,28,20121025,2,102,1
2,29,20140619,2,102,1
2,28,20130412,2,102,1
2,29,20131024,2,102,1
2,28,20130702,2,102,1
2,29,20130912,2,102,1
1,41,20130605,2,102,1
1,41,20140711,2,102,1
1,45,20140619,2,102,1
1,45,,2,102,1
2,30,20131218,2,102,1
1,48,20170804,2,102,1
2,30,20120716,2,102,1
2,30,20131007,2,102,1
2,30,20140715,2,102,1
1,59,20131010,2,102,1
1,63,,2,102,2
1,41,20130222,2,102,1
1,41,20120604,2,102,1
1,81,20121114,2,102,1
2,33,20130619,2,102,1
1,41,20120222,2,102,1
1,81,20140806,2,102,1
2,21,20120524,2,102,1
2,33,20120628,2,102,1
2,33,20130208,2,102,1
2,29,20120620,2,102,1
2,29,20140522,2,102,1
2,11,20120616,2,102,1
2,10,20130912,2,102,1
2,29,20120703,2,102,1
2,28,20120917,2,102,3
2,28,20131203,2,102,1
2,28,20120727,2,102,1
2,29,20130923,2,102,1
2,29,20130715,2,102,1
2,29,20130620,2,102,1
2,28,20130607,2,102,1
1,58,20131206,2,102,1
1,40,20120813,2,102,1
1,42,20130509,2,102,1
1,42,20131030,2,102,1
2,30,20130612,2,102,1
2,30,20131019,2,102,1
2,30,20130725,2,102,1
1,59,20120822,2,102,1
1,81,20121026,2,102,1
1,81,20121018,2,102,1
1,81,20130814,2,102,1
1,81,20130213,2,102,1
2,65,20130503,2,102,1
1,32,20130612,2,102,1
1,57,20131113,2,102,2
1,45,20140804,2,102,1
1,41,20120709,2,102,1
1,41,20130815,2,102,1
1,41,20130830,2,102,1
1,41,20141020,2,102,1
1,40,20140120,2,102,1
1,40,20140703,2,102,1
2,30,20140604,2,102,1
1,60,20120627,2,102,1
1,81,20130125,2,102,1
2,33,20121126,2,102,1
2,29,20131031,2,102,1
2,29,20120625,2,102,2
2,29,20130927,2,102,2
1,42,20130809,2,102,1
1,60,20131202,2,102,1
2,29,20130314,2,102,1
2,12,20120903,2,102,1
2,12,20120727,2,102,2
2,12,20140609,2,102,1
2,11,20120816,2,102,1
2,10,20130311,2,102,1
2,12,20120813,2,102,2
2,12,20131003,2,102,1
1,81,20121117,2,102,1
1,58,20131219,2,102,1
2,29,20130902,2,102,1
2,28,20120628,2,102,1
2,28,20121030,2,102,1
2,28,20140814,2,102,1
2,29,20140620,2,102,2
2,28,20130717,2,102,2
2,29,20130307,2,102,1
2,28,20120915,2,102,1
2,29,20121022,2,102,1
2,28,20130524,2,102,1
1,55,20130731,1,102,1
1,64,20121011,1,102,1
1,75,,1,102,1
1,55,20130605,1,102,1
1,55,20140923,1,102,1
1,55,20130713,1,102,1
1,64,20130314,1,102,1
1,64,20130429,1,102,1
1,62,20131209,1,102,2
1,64,,1,102,1
1,55,20130221,1,102,1
1,55,20141008,1,102,1
1,55,20120309,1,102,1
1,64,20130206,1,102,1
1,55,20130619,1,102,1
1,55,20120822,1,102,1
1,64,20130321,1,102,1
1,55,20130426,1,102,1
1,55,20160511,1,102,1
1,41,20160829,1,102,1
1,41,20120629,1,102,1
1,41,20130422,1,102,1
1,41,20130227,1,102,1
1,40,20180117,1,102,1
1,41,,1,102,2
1,81,,1,102,8
2,65,20130201,1,102,1
1,81,20140626,1,102,1
2,33,20130418,1,102,2
2,29,20130716,1,102,2
2,29,20131011,1,102,1
2,12,20140819,1,102,1
2,29,20140822,1,102,1
2,28,20130524,1,102,1
2,28,20120904,1,102,2
2,28,20140618,1,102,1
2,28,20140819,1,102,1
1,59,20120728,1,102,1
2,65,20120509,1,102,1
2,65,20120326,1,102,1
1,51,20130626,1,102,1
1,60,20130318,1,102,1
2,33,20130517,1,102,1
1,40,20150803,1,102,1
1,46,20130411,1,102,1
2,65,20140609,1,102,1
2,65,20140723,1,102,1
2,33,20130827,1,102,2
2,29,20121011,1,102,1
2,29,20130111,1,102,1
2,29,20131217,1,102,1
2,29,20130710,1,102,1
2,29,20130214,1,102,1
2,29,20121017,1,102,1
2,12,20140815,1,102,1
2,29,20130408,1,102,1
2,28,20121009,1,102,1
2,29,20130215,1,102,1
1,40,,1,102,1
1,42,20130523,1,102,1
1,60,20130722,1,102,1
2,30,20140526,1,102,1
