fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20130114,143,3,1,67,3529,1
20130117,143,3,1,76,1997,5
20130115,143,3,1,73,3826,1
20130118,143,3,1,41,3799,1
20130115,143,3,1,73,3529,1
20130116,143,3,1,67,3529,1
20130114,143,3,1,41,3529,1
20130123,143,3,1,41,3737,1
20130126,143,3,1,73,3529,1
20130125,143,3,1,87,3725,4
20130125,143,3,1,41,3725,1
20130122,143,3,1,87,3725,2
20120207,144,3,1,67,3737,1
20120210,144,3,1,67,3737,1
20120131,144,3,1,67,3737,2
20120305,144,3,1,67,3771,1
20120301,144,3,1,67,939,1
20120607,144,3,1,67,3737,1
20120510,144,3,1,67,1949,1
20120726,144,3,1,71,1997,1
20120821,144,3,1,67,3725,1
20130127,153,3,1,41,3798,1
20130201,153,3,1,41,1997,2
20120110,143,3,1,67,3737,1
20120118,143,3,1,87,3673,1
20120116,143,3,1,67,3750,1
20120120,143,3,1,67,939,2
20120209,143,3,1,41,3529,1
20120206,143,3,1,67,3529,1
20120209,143,3,1,67,3655,1
20120210,143,3,1,67,1997,1
20120125,143,3,1,67,3529,1
20120127,143,3,1,67,939,2
20120202,143,3,1,69,1997,2
20120203,143,3,1,67,3655,2
20120131,143,3,1,69,3529,1
20120203,143,3,1,76,3529,2
20120202,143,3,1,67,939,1
20120308,143,3,1,67,3737,1
20120309,143,3,1,87,3673,1
20120304,143,3,1,67,3693,2
20120311,143,3,1,67,3693,1
20120309,143,3,1,41,3529,2
20120213,143,3,1,69,3737,1
20120214,143,3,1,67,1997,1
20120217,143,3,1,67,3673,1
20120221,143,3,1,67,3693,2
20120226,143,3,1,67,939,1
20120302,143,3,1,67,3737,1
20120306,143,3,1,67,1997,2
20120309,143,3,1,67,939,1
20120313,143,3,1,67,3776,1
20120313,143,3,1,67,3752,1
20120322,143,3,1,87,3655,2
20120319,143,3,1,67,3693,1
20120323,143,3,1,67,1997,1
20120323,143,3,1,67,3737,1
20120607,143,3,1,77,3529,2
20120329,143,3,1,67,939,1
20120404,143,3,1,41,3752,1
20120412,143,3,1,87,3693,1
20120410,143,3,1,67,1997,1
20120417,143,3,1,67,3673,2
20120422,143,3,1,87,1997,1
20120502,143,3,1,70,500,1
20120503,143,3,1,70,500,1
20120510,143,3,1,70,3673,1
20120511,143,3,1,67,1949,1
20120509,143,3,1,67,3632,1
20120515,143,3,1,67,3529,1
20120515,143,3,1,73,939,1
20120528,143,3,1,71,1997,1
20120528,143,3,1,67,3673,3
20120620,143,3,1,41,3737,1
20120531,143,3,1,41,3529,1
20120801,143,3,1,41,3529,2
20120803,143,3,1,77,3693,1
20120730,143,3,1,67,3693,3
20120806,143,3,1,67,500,1
20120807,143,3,1,67,3529,1
