fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120127,321,5,4,8,2006,1
20120606,321,5,4,1,49,4
20120202,321,5,4,2,2279,1
20120131,321,5,4,13,2017,1
20120206,321,5,4,1,2512,1
20120215,321,5,4,1,750,1
20120216,321,5,4,2,3110,1
20120219,321,5,4,2,3110,1
20120215,321,5,4,1,2017,1
20120226,321,5,4,1,2017,1
20120221,321,5,4,1,2006,1
20120222,321,5,4,8,3110,1
20120221,321,5,4,12,2017,2
20120221,321,5,4,1,2515,1
20120224,321,5,4,3,3110,2
20120228,321,5,4,5,2502,1
20120229,321,5,4,12,2017,2
20120303,321,5,4,4,2017,1
20120303,321,5,4,4,3110,1
20120706,321,5,4,1,2528,1
20120707,321,5,4,3,2541,1
20120705,321,5,4,4,2544,3
20120713,321,5,4,3,2541,1
20120713,321,5,4,7,2006,1
20120711,321,5,4,9,3110,2
20120718,321,5,4,10,2536,1
20120717,321,5,4,4,2528,3
20120727,321,5,4,1,2164,8
20120727,321,5,4,6,2006,1
20120725,321,5,4,10,2541,1
20120723,321,5,4,4,2528,1
20120725,321,5,4,1,2298,1
20120725,321,5,1,87,2017,1
20120723,321,5,4,4,2017,2
20120511,321,5,4,1,2006,1
20120523,321,5,4,2,2006,1
20120524,321,5,4,5,2511,1
20120824,321,5,4,1,2298,2
20120822,321,5,4,1,2556,1
20120823,321,5,4,1,2555,1
20120614,321,5,4,3,2541,2
20120613,321,5,4,3,2537,2
20120613,321,5,4,3,2534,2
20120612,321,5,4,1,2006,1
20120614,321,5,4,1,49,5
20120621,321,5,4,12,750,1
20120621,321,5,4,3,2534,1
20120623,321,5,4,2,2529,2
20120624,321,5,4,1,2164,1
20120620,321,5,4,3,2533,1
20120621,321,5,4,10,3110,1
20120628,321,5,4,1,2279,1
20120628,321,5,4,4,2543,1
20120627,321,5,4,3,2006,1
20120629,321,5,4,1,2534,1
20120629,321,5,4,1,2298,1
20120627,321,5,4,1,2017,1
20120704,321,5,4,1,2511,1
